Category: All categories

Time,Facebook down: (Worldwide)
2021-11-29T21,24
2021-11-29T22,20
2021-11-29T23,17
2021-11-30T00,15
2021-11-30T01,15
2021-11-30T02,14
2021-11-30T03,14
2021-11-30T04,13
2021-11-30T05,13
2021-11-30T06,14
2021-11-30T07,16
2021-11-30T08,17
2021-11-30T09,19
2021-11-30T10,20
2021-11-30T11,22
2021-11-30T12,24
2021-11-30T13,26
2021-11-30T14,28
2021-11-30T15,25
2021-11-30T16,23
2021-11-30T17,28
2021-11-30T18,26
2021-11-30T19,30
2021-11-30T20,25
2021-11-30T21,26
2021-11-30T22,30
2021-11-30T23,26
2021-12-01T00,24
2021-12-01T01,21
2021-12-01T02,21
2021-12-01T03,19
2021-12-01T04,17
2021-12-01T05,16
2021-12-01T06,23
2021-12-01T07,24
2021-12-01T08,28
2021-12-01T09,28
2021-12-01T10,32
2021-12-01T11,33
2021-12-01T12,20
2021-12-01T13,23
2021-12-01T14,23
2021-12-01T15,22
2021-12-01T16,22
2021-12-01T17,24
2021-12-01T18,23
2021-12-01T19,24
2021-12-01T20,26
2021-12-01T21,23
2021-12-01T22,23
2021-12-01T23,24
2021-12-02T00,16
2021-12-02T01,16
2021-12-02T02,15
2021-12-02T03,15
2021-12-02T04,13
2021-12-02T05,15
2021-12-02T06,23
2021-12-02T07,35
2021-12-02T08,24
2021-12-02T09,22
2021-12-02T10,24
2021-12-02T11,22
2021-12-02T12,23
2021-12-02T13,23
2021-12-02T14,25
2021-12-02T15,22
2021-12-02T16,27
2021-12-02T17,26
2021-12-02T18,28
2021-12-02T19,25
2021-12-02T20,23
2021-12-02T21,30
2021-12-02T22,23
2021-12-02T23,21
2021-12-03T00,21
2021-12-03T01,17
2021-12-03T02,14
2021-12-03T03,15
2021-12-03T04,14
2021-12-03T05,14
2021-12-03T06,15
2021-12-03T07,15
2021-12-03T08,17
2021-12-03T09,18
2021-12-03T10,21
2021-12-03T11,18
2021-12-03T12,21
2021-12-03T13,22
2021-12-03T14,22
2021-12-03T15,21
2021-12-03T16,27
2021-12-03T17,26
2021-12-03T18,25
2021-12-03T19,27
2021-12-03T20,25
2021-12-03T21,22
2021-12-03T22,24
2021-12-03T23,22
2021-12-04T00,22
2021-12-04T01,20
2021-12-04T02,16
2021-12-04T03,16
2021-12-04T04,14
2021-12-04T05,15
2021-12-04T06,14
2021-12-04T07,32
2021-12-04T08,100
2021-12-04T09,73
2021-12-04T10,23
2021-12-04T11,22
2021-12-04T12,22
2021-12-04T13,23
2021-12-04T14,25
2021-12-04T15,27
2021-12-04T16,25
2021-12-04T17,28
2021-12-04T18,25
2021-12-04T19,25
2021-12-04T20,28
2021-12-04T21,26
2021-12-04T22,22
2021-12-04T23,24
2021-12-05T00,22
2021-12-05T01,17
2021-12-05T02,18
2021-12-05T03,18
2021-12-05T04,18
2021-12-05T05,15
2021-12-05T06,16
2021-12-05T07,17
2021-12-05T08,19
2021-12-05T09,17
2021-12-05T10,20
2021-12-05T11,23
2021-12-05T12,23
2021-12-05T13,23
2021-12-05T14,21
2021-12-05T15,23
2021-12-05T16,24
2021-12-05T17,22
2021-12-05T18,26
2021-12-05T19,20
2021-12-05T20,26
2021-12-05T21,23
2021-12-05T22,25
2021-12-05T23,18
2021-12-06T00,20
2021-12-06T01,17
2021-12-06T02,16
2021-12-06T03,15
2021-12-06T04,16
2021-12-06T05,14
2021-12-06T06,16
2021-12-06T07,17
2021-12-06T08,18
2021-12-06T09,18
2021-12-06T10,18
2021-12-06T11,21
2021-12-06T12,25
2021-12-06T13,21
2021-12-06T14,22
2021-12-06T15,22
2021-12-06T16,25
2021-12-06T17,22
2021-12-06T18,26
2021-12-06T19,24
2021-12-06T20,22
