Category: All categories

Time,facebook meta down: (Worldwide)
2021-11-29T21,0
2021-11-29T22,0
2021-11-29T23,37
2021-11-30T00,37
2021-11-30T01,0
2021-11-30T02,0
2021-11-30T03,29
2021-11-30T04,0
2021-11-30T05,27
2021-11-30T06,25
2021-11-30T07,23
2021-11-30T08,0
2021-11-30T09,21
2021-11-30T10,84
2021-11-30T11,21
2021-11-30T12,22
2021-11-30T13,68
2021-11-30T14,0
2021-11-30T15,50
2021-11-30T16,55
2021-11-30T17,0
2021-11-30T18,35
2021-11-30T19,35
2021-11-30T20,0
2021-11-30T21,35
2021-11-30T22,0
2021-11-30T23,0
2021-12-01T00,36
2021-12-01T01,34
2021-12-01T02,63
2021-12-01T03,29
2021-12-01T04,0
2021-12-01T05,0
2021-12-01T06,0
2021-12-01T07,23
2021-12-01T08,0
2021-12-01T09,20
2021-12-01T10,20
2021-12-01T11,20
2021-12-01T12,41
2021-12-01T13,46
2021-12-01T14,71
2021-12-01T15,50
2021-12-01T16,28
2021-12-01T17,0
2021-12-01T18,35
2021-12-01T19,0
2021-12-01T20,70
2021-12-01T21,0
2021-12-01T22,72
2021-12-01T23,38
2021-12-02T00,37
2021-12-02T01,34
2021-12-02T02,63
2021-12-02T03,0
2021-12-02T04,0
2021-12-02T05,0
2021-12-02T06,25
2021-12-02T07,0
2021-12-02T08,0
2021-12-02T09,0
2021-12-02T10,87
2021-12-02T11,43
2021-12-02T12,45
2021-12-02T13,47
2021-12-02T14,96
2021-12-02T15,50
2021-12-02T16,28
2021-12-02T17,31
2021-12-02T18,0
2021-12-02T19,69
2021-12-02T20,35
2021-12-02T21,35
2021-12-02T22,0
2021-12-02T23,38
2021-12-03T00,75
2021-12-03T01,0
2021-12-03T02,0
2021-12-03T03,0
2021-12-03T04,0
2021-12-03T05,0
2021-12-03T06,26
2021-12-03T07,0
2021-12-03T08,22
2021-12-03T09,43
2021-12-03T10,22
2021-12-03T11,45
2021-12-03T12,47
2021-12-03T13,49
2021-12-03T14,52
2021-12-03T15,83
2021-12-03T16,61
2021-12-03T17,0
2021-12-03T18,74
2021-12-03T19,39
2021-12-03T20,39
2021-12-03T21,0
2021-12-03T22,0
2021-12-03T23,41
2021-12-04T00,0
2021-12-04T01,40
2021-12-04T02,36
2021-12-04T03,67
2021-12-04T04,0
2021-12-04T05,0
2021-12-04T06,0
2021-12-04T07,27
2021-12-04T08,100
2021-12-04T09,48
2021-12-04T10,71
2021-12-04T11,0
2021-12-04T12,0
2021-12-04T13,0
2021-12-04T14,0
2021-12-04T15,58
2021-12-04T16,31
2021-12-04T17,34
2021-12-04T18,37
2021-12-04T19,0
2021-12-04T20,40
2021-12-04T21,0
2021-12-04T22,0
2021-12-04T23,43
2021-12-05T00,43
2021-12-05T01,0
2021-12-05T02,0
2021-12-05T03,0
2021-12-05T04,33
2021-12-05T05,32
2021-12-05T06,0
2021-12-05T07,28
2021-12-05T08,26
2021-12-05T09,25
2021-12-05T10,24
2021-12-05T11,0
2021-12-05T12,0
2021-12-05T13,50
2021-12-05T14,27
2021-12-05T15,0
2021-12-05T16,60
2021-12-05T17,0
2021-12-05T18,0
2021-12-05T19,0
2021-12-05T20,36
2021-12-05T21,37
2021-12-05T22,0
2021-12-05T23,0
2021-12-06T00,38
2021-12-06T01,0
2021-12-06T02,32
2021-12-06T03,0
2021-12-06T04,0
2021-12-06T05,28
2021-12-06T06,25
2021-12-06T07,0
2021-12-06T08,22
2021-12-06T09,42
2021-12-06T10,64
2021-12-06T11,43
2021-12-06T12,67
2021-12-06T13,19
2021-12-06T14,20
2021-12-06T15,42
2021-12-06T16,24
2021-12-06T17,0
2021-12-06T18,0
2021-12-06T19,30
2021-12-06T20,29
