Category: All categories

Time,facebook stock down: (Worldwide)
2021-11-29T21,20
2021-11-29T22,7
2021-11-29T23,0
2021-11-30T00,14
2021-11-30T01,13
2021-11-30T02,6
2021-11-30T03,6
2021-11-30T04,0
2021-11-30T05,0
2021-11-30T06,5
2021-11-30T07,18
2021-11-30T08,4
2021-11-30T09,8
2021-11-30T10,12
2021-11-30T11,28
2021-11-30T12,46
2021-11-30T13,56
2021-11-30T14,32
2021-11-30T15,29
2021-11-30T16,32
2021-11-30T17,24
2021-11-30T18,20
2021-11-30T19,7
2021-11-30T20,13
2021-11-30T21,13
2021-11-30T22,21
2021-11-30T23,7
2021-12-01T00,28
2021-12-01T01,7
2021-12-01T02,0
2021-12-01T03,6
2021-12-01T04,0
2021-12-01T05,5
2021-12-01T06,9
2021-12-01T07,0
2021-12-01T08,0
2021-12-01T09,11
2021-12-01T10,19
2021-12-01T11,23
2021-12-01T12,40
2021-12-01T13,76
2021-12-01T14,46
2021-12-01T15,77
2021-12-01T16,59
2021-12-01T17,60
2021-12-01T18,62
2021-12-01T19,0
2021-12-01T20,7
2021-12-01T21,33
2021-12-01T22,42
2021-12-01T23,37
2021-12-02T00,57
2021-12-02T01,53
2021-12-02T02,0
2021-12-02T03,17
2021-12-02T04,22
2021-12-02T05,16
2021-12-02T06,24
2021-12-02T07,18
2021-12-02T08,21
2021-12-02T09,20
2021-12-02T10,50
2021-12-02T11,37
2021-12-02T12,17
2021-12-02T13,100
2021-12-02T14,56
2021-12-02T15,34
2021-12-02T16,33
2021-12-02T17,18
2021-12-02T18,21
2021-12-02T19,7
2021-12-02T20,20
2021-12-02T21,13
2021-12-02T22,28
2021-12-02T23,22
2021-12-03T00,14
2021-12-03T01,0
2021-12-03T02,0
2021-12-03T03,6
2021-12-03T04,5
2021-12-03T05,0
2021-12-03T06,10
2021-12-03T07,23
2021-12-03T08,17
2021-12-03T09,13
2021-12-03T10,76
2021-12-03T11,87
2021-12-03T12,90
2021-12-03T13,28
2021-12-03T14,25
2021-12-03T15,37
2021-12-03T16,18
2021-12-03T17,32
2021-12-03T18,14
2021-12-03T19,22
2021-12-03T20,0
2021-12-03T21,8
2021-12-03T22,16
2021-12-03T23,16
2021-12-04T00,40
2021-12-04T01,15
2021-12-04T02,35
2021-12-04T03,0
2021-12-04T04,6
2021-12-04T05,6
2021-12-04T06,6
2021-12-04T07,5
2021-12-04T08,24
2021-12-04T09,23
2021-12-04T10,9
2021-12-04T11,5
2021-12-04T12,9
2021-12-04T13,9
2021-12-04T14,10
2021-12-04T15,17
2021-12-04T16,12
2021-12-04T17,13
2021-12-04T18,14
2021-12-04T19,0
2021-12-04T20,8
2021-12-04T21,23
2021-12-04T22,16
2021-12-04T23,0
2021-12-05T00,25
2021-12-05T01,0
2021-12-05T02,15
2021-12-05T03,0
2021-12-05T04,6
2021-12-05T05,12
2021-12-05T06,0
2021-12-05T07,0
2021-12-05T08,10
2021-12-05T09,19
2021-12-05T10,0
2021-12-05T11,19
2021-12-05T12,9
2021-12-05T13,15
2021-12-05T14,10
2021-12-05T15,0
2021-12-05T16,17
2021-12-05T17,0
2021-12-05T18,7
2021-12-05T19,7
2021-12-05T20,7
2021-12-05T21,14
2021-12-05T22,14
2021-12-05T23,0
2021-12-06T00,36
2021-12-06T01,7
2021-12-06T02,0
2021-12-06T03,17
2021-12-06T04,5
2021-12-06T05,16
2021-12-06T06,5
2021-12-06T07,22
2021-12-06T08,13
2021-12-06T09,32
2021-12-06T10,8
2021-12-06T11,25
2021-12-06T12,26
2021-12-06T13,28
2021-12-06T14,29
2021-12-06T15,13
2021-12-06T16,10
2021-12-06T17,11
2021-12-06T18,0
2021-12-06T19,25
2021-12-06T20,6
