Category: All categories

Time,Meta down: (Worldwide)
2021-11-29T21,42
2021-11-29T22,24
2021-11-29T23,32
2021-11-30T00,38
2021-11-30T01,12
2021-11-30T02,11
2021-11-30T03,30
2021-11-30T04,20
2021-11-30T05,46
2021-11-30T06,9
2021-11-30T07,24
2021-11-30T08,22
2021-11-30T09,28
2021-11-30T10,36
2021-11-30T11,25
2021-11-30T12,37
2021-11-30T13,43
2021-11-30T14,36
2021-11-30T15,30
2021-11-30T16,47
2021-11-30T17,33
2021-11-30T18,30
2021-11-30T19,42
2021-11-30T20,35
2021-11-30T21,12
2021-11-30T22,56
2021-11-30T23,45
2021-12-01T00,38
2021-12-01T01,24
2021-12-01T02,70
2021-12-01T03,15
2021-12-01T04,24
2021-12-01T05,5
2021-12-01T06,25
2021-12-01T07,23
2021-12-01T08,36
2021-12-01T09,31
2021-12-01T10,20
2021-12-01T11,27
2021-12-01T12,28
2021-12-01T13,75
2021-12-01T14,41
2021-12-01T15,73
2021-12-01T16,48
2021-12-01T17,75
2021-12-01T18,49
2021-12-01T19,37
2021-12-01T20,66
2021-12-01T21,53
2021-12-01T22,37
2021-12-01T23,39
2021-12-02T00,38
2021-12-02T01,47
2021-12-02T02,16
2021-12-02T03,36
2021-12-02T04,24
2021-12-02T05,38
2021-12-02T06,47
2021-12-02T07,24
2021-12-02T08,11
2021-12-02T09,11
2021-12-02T10,41
2021-12-02T11,30
2021-12-02T12,15
2021-12-02T13,28
2021-12-02T14,45
2021-12-02T15,34
2021-12-02T16,43
2021-12-02T17,37
2021-12-02T18,55
2021-12-02T19,48
2021-12-02T20,24
2021-12-02T21,48
2021-12-02T22,37
2021-12-02T23,33
2021-12-03T00,52
2021-12-03T01,24
2021-12-03T02,6
2021-12-03T03,16
2021-12-03T04,15
2021-12-03T05,19
2021-12-03T06,13
2021-12-03T07,17
2021-12-03T08,35
2021-12-03T09,34
2021-12-03T10,34
2021-12-03T11,46
2021-12-03T12,100
2021-12-03T13,46
2021-12-03T14,75
2021-12-03T15,43
2021-12-03T16,26
2021-12-03T17,17
2021-12-03T18,32
2021-12-03T19,26
2021-12-03T20,47
2021-12-03T21,48
2021-12-03T22,28
2021-12-03T23,21
2021-12-04T00,78
2021-12-04T01,55
2021-12-04T02,31
2021-12-04T03,40
2021-12-04T04,33
2021-12-04T05,0
2021-12-04T06,20
2021-12-04T07,23
2021-12-04T08,47
2021-12-04T09,29
2021-12-04T10,53
2021-12-04T11,20
2021-12-04T12,12
2021-12-04T13,33
2021-12-04T14,19
2021-12-04T15,25
2021-12-04T16,32
2021-12-04T17,35
2021-12-04T18,19
2021-12-04T19,33
2021-12-04T20,48
2021-12-04T21,14
2021-12-04T22,21
2021-12-04T23,29
2021-12-05T00,37
2021-12-05T01,42
2021-12-05T02,26
2021-12-05T03,6
2021-12-05T04,17
2021-12-05T05,22
2021-12-05T06,36
2021-12-05T07,34
2021-12-05T08,13
2021-12-05T09,21
2021-12-05T10,17
2021-12-05T11,21
2021-12-05T12,8
2021-12-05T13,30
2021-12-05T14,23
2021-12-05T15,14
2021-12-05T16,36
2021-12-05T17,29
2021-12-05T18,19
2021-12-05T19,32
2021-12-05T20,49
2021-12-05T21,38
2021-12-05T22,19
2021-12-05T23,19
2021-12-06T00,45
2021-12-06T01,65
2021-12-06T02,27
2021-12-06T03,15
2021-12-06T04,10
2021-12-06T05,14
2021-12-06T06,22
2021-12-06T07,24
2021-12-06T08,23
2021-12-06T09,39
2021-12-06T10,47
2021-12-06T11,26
2021-12-06T12,34
2021-12-06T13,30
2021-12-06T14,17
2021-12-06T15,29
2021-12-06T16,12
2021-12-06T17,31
2021-12-06T18,24
2021-12-06T19,36
2021-12-06T20,35
