Category: All categories

Time,facebook decrease: (Worldwide)
2021-11-29T21,60
2021-11-29T22,12
2021-11-29T23,65
2021-11-30T00,13
2021-11-30T01,24
2021-11-30T02,22
2021-11-30T03,41
2021-11-30T04,10
2021-11-30T05,28
2021-11-30T06,18
2021-11-30T07,48
2021-11-30T08,30
2021-11-30T09,29
2021-11-30T10,22
2021-11-30T11,15
2021-11-30T12,30
2021-11-30T13,39
2021-11-30T14,33
2021-11-30T15,9
2021-11-30T16,39
2021-11-30T17,22
2021-11-30T18,48
2021-11-30T19,24
2021-11-30T20,48
2021-11-30T21,73
2021-11-30T22,89
2021-11-30T23,65
2021-12-01T00,76
2021-12-01T01,48
2021-12-01T02,33
2021-12-01T03,31
2021-12-01T04,0
2021-12-01T05,9
2021-12-01T06,9
2021-12-01T07,24
2021-12-01T08,44
2021-12-01T09,28
2021-12-01T10,35
2021-12-01T11,55
2021-12-01T12,22
2021-12-01T13,16
2021-12-01T14,33
2021-12-01T15,26
2021-12-01T16,39
2021-12-01T17,22
2021-12-01T18,50
2021-12-01T19,100
2021-12-01T20,12
2021-12-01T21,24
2021-12-01T22,38
2021-12-01T23,54
2021-12-02T00,26
2021-12-02T01,24
2021-12-02T02,11
2021-12-02T03,52
2021-12-02T04,40
2021-12-02T05,29
2021-12-02T06,35
2021-12-02T07,16
2021-12-02T08,38
2021-12-02T09,7
2021-12-02T10,38
2021-12-02T11,30
2021-12-02T12,63
2021-12-02T13,16
2021-12-02T14,34
2021-12-02T15,18
2021-12-02T16,20
2021-12-02T17,43
2021-12-02T18,12
2021-12-02T19,24
2021-12-02T20,49
2021-12-02T21,24
2021-12-02T22,76
2021-12-02T23,40
2021-12-03T00,13
2021-12-03T01,72
2021-12-03T02,22
2021-12-03T03,53
2021-12-03T04,30
2021-12-03T05,78
2021-12-03T06,36
2021-12-03T07,42
2021-12-03T08,24
2021-12-03T09,45
2021-12-03T10,46
2021-12-03T11,31
2021-12-03T12,8
2021-12-03T13,59
2021-12-03T14,18
2021-12-03T15,49
2021-12-03T16,32
2021-12-03T17,12
2021-12-03T18,26
2021-12-03T19,13
2021-12-03T20,27
2021-12-03T21,42
2021-12-03T22,14
2021-12-03T23,58
2021-12-04T00,14
2021-12-04T01,0
2021-12-04T02,13
2021-12-04T03,12
2021-12-04T04,34
2021-12-04T05,11
2021-12-04T06,10
2021-12-04T07,47
2021-12-04T08,9
2021-12-04T09,50
2021-12-04T10,25
2021-12-04T11,0
2021-12-04T12,8
2021-12-04T13,25
2021-12-04T14,28
2021-12-04T15,0
2021-12-04T16,32
2021-12-04T17,0
2021-12-04T18,26
2021-12-04T19,27
2021-12-04T20,70
2021-12-04T21,28
2021-12-04T22,29
2021-12-04T23,45
2021-12-05T00,30
2021-12-05T01,43
2021-12-05T02,67
2021-12-05T03,24
2021-12-05T04,11
2021-12-05T05,22
2021-12-05T06,62
2021-12-05T07,29
2021-12-05T08,27
2021-12-05T09,26
2021-12-05T10,17
2021-12-05T11,0
2021-12-05T12,17
2021-12-05T13,9
2021-12-05T14,19
2021-12-05T15,38
2021-12-05T16,63
2021-12-05T17,0
2021-12-05T18,64
2021-12-05T19,13
2021-12-05T20,50
2021-12-05T21,51
2021-12-05T22,52
2021-12-05T23,13
2021-12-06T00,66
2021-12-06T01,72
2021-12-06T02,44
2021-12-06T03,31
2021-12-06T04,30
2021-12-06T05,29
2021-12-06T06,61
2021-12-06T07,24
2021-12-06T08,23
2021-12-06T09,58
2021-12-06T10,44
2021-12-06T11,15
2021-12-06T12,8
2021-12-06T13,13
2021-12-06T14,28
2021-12-06T15,22
2021-12-06T16,33
2021-12-06T17,62
2021-12-06T18,59
2021-12-06T19,31
2021-12-06T20,81
