Category: All categories

Time,Meta decrease: (Worldwide)
2021-11-29T21,43
2021-11-29T22,44
2021-11-29T23,46
2021-11-30T00,0
2021-11-30T01,85
2021-11-30T02,39
2021-11-30T03,0
2021-11-30T04,35
2021-11-30T05,0
2021-11-30T06,0
2021-11-30T07,29
2021-11-30T08,0
2021-11-30T09,0
2021-11-30T10,26
2021-11-30T11,0
2021-11-30T12,27
2021-11-30T13,28
2021-11-30T14,0
2021-11-30T15,32
2021-11-30T16,0
2021-11-30T17,0
2021-11-30T18,0
2021-11-30T19,0
2021-11-30T20,0
2021-11-30T21,0
2021-11-30T22,46
2021-11-30T23,0
2021-12-01T00,92
2021-12-01T01,43
2021-12-01T02,0
2021-12-01T03,74
2021-12-01T04,0
2021-12-01T05,34
2021-12-01T06,0
2021-12-01T07,29
2021-12-01T08,27
2021-12-01T09,0
2021-12-01T10,0
2021-12-01T11,0
2021-12-01T12,0
2021-12-01T13,0
2021-12-01T14,0
2021-12-01T15,0
2021-12-01T16,0
2021-12-01T17,0
2021-12-01T18,45
2021-12-01T19,0
2021-12-01T20,44
2021-12-01T21,0
2021-12-01T22,0
2021-12-01T23,48
2021-12-02T00,47
2021-12-02T01,43
2021-12-02T02,0
2021-12-02T03,0
2021-12-02T04,36
2021-12-02T05,0
2021-12-02T06,0
2021-12-02T07,0
2021-12-02T08,0
2021-12-02T09,0
2021-12-02T10,27
2021-12-02T11,0
2021-12-02T12,0
2021-12-02T13,0
2021-12-02T14,0
2021-12-02T15,0
2021-12-02T16,0
2021-12-02T17,0
2021-12-02T18,89
2021-12-02T19,0
2021-12-02T20,0
2021-12-02T21,0
2021-12-02T22,46
2021-12-02T23,0
2021-12-03T00,0
2021-12-03T01,0
2021-12-03T02,0
2021-12-03T03,0
2021-12-03T04,36
2021-12-03T05,0
2021-12-03T06,33
2021-12-03T07,0
2021-12-03T08,28
2021-12-03T09,0
2021-12-03T10,28
2021-12-03T11,28
2021-12-03T12,29
2021-12-03T13,31
2021-12-03T14,65
2021-12-03T15,0
2021-12-03T16,39
2021-12-03T17,0
2021-12-03T18,0
2021-12-03T19,0
2021-12-03T20,49
2021-12-03T21,50
2021-12-03T22,0
2021-12-03T23,52
2021-12-04T00,0
2021-12-04T01,100
2021-12-04T02,46
2021-12-04T03,0
2021-12-04T04,0
2021-12-04T05,39
2021-12-04T06,0
2021-12-04T07,0
2021-12-04T08,0
2021-12-04T09,0
2021-12-04T10,0
2021-12-04T11,0
2021-12-04T12,0
2021-12-04T13,0
2021-12-04T14,0
2021-12-04T15,0
2021-12-04T16,0
2021-12-04T17,0
2021-12-04T18,0
2021-12-04T19,49
2021-12-04T20,0
2021-12-04T21,0
2021-12-04T22,0
2021-12-04T23,0
2021-12-05T00,54
2021-12-05T01,0
2021-12-05T02,0
2021-12-05T03,44
2021-12-05T04,0
2021-12-05T05,0
2021-12-05T06,0
2021-12-05T07,35
2021-12-05T08,32
2021-12-05T09,62
2021-12-05T10,0
2021-12-05T11,31
2021-12-05T12,0
2021-12-05T13,0
2021-12-05T14,33
2021-12-05T15,35
2021-12-05T16,38
2021-12-05T17,42
2021-12-05T18,0
2021-12-05T19,93
2021-12-05T20,0
2021-12-05T21,0
2021-12-05T22,46
2021-12-05T23,47
2021-12-06T00,0
2021-12-06T01,43
2021-12-06T02,0
2021-12-06T03,37
2021-12-06T04,0
2021-12-06T05,0
2021-12-06T06,0
2021-12-06T07,0
2021-12-06T08,0
2021-12-06T09,0
2021-12-06T10,0
2021-12-06T11,0
2021-12-06T12,0
2021-12-06T13,0
2021-12-06T14,0
2021-12-06T15,56
2021-12-06T16,31
2021-12-06T17,34
2021-12-06T18,38
2021-12-06T19,39
2021-12-06T20,0
