Category: All categories

Time,facebook meta: (Worldwide)
2021-11-29T21,69
2021-11-29T22,91
2021-11-29T23,66
2021-11-30T00,57
2021-11-30T01,47
2021-11-30T02,40
2021-11-30T03,47
2021-11-30T04,40
2021-11-30T05,41
2021-11-30T06,41
2021-11-30T07,45
2021-11-30T08,50
2021-11-30T09,53
2021-11-30T10,54
2021-11-30T11,54
2021-11-30T12,55
2021-11-30T13,58
2021-11-30T14,59
2021-11-30T15,56
2021-11-30T16,61
2021-11-30T17,62
2021-11-30T18,60
2021-11-30T19,64
2021-11-30T20,65
2021-11-30T21,69
2021-11-30T22,74
2021-11-30T23,69
2021-12-01T00,57
2021-12-01T01,45
2021-12-01T02,40
2021-12-01T03,36
2021-12-01T04,37
2021-12-01T05,37
2021-12-01T06,42
2021-12-01T07,47
2021-12-01T08,43
2021-12-01T09,50
2021-12-01T10,49
2021-12-01T11,50
2021-12-01T12,54
2021-12-01T13,54
2021-12-01T14,51
2021-12-01T15,57
2021-12-01T16,55
2021-12-01T17,60
2021-12-01T18,66
2021-12-01T19,58
2021-12-01T20,64
2021-12-01T21,68
2021-12-01T22,65
2021-12-01T23,53
2021-12-02T00,50
2021-12-02T01,48
2021-12-02T02,48
2021-12-02T03,47
2021-12-02T04,41
2021-12-02T05,42
2021-12-02T06,43
2021-12-02T07,44
2021-12-02T08,43
2021-12-02T09,46
2021-12-02T10,52
2021-12-02T11,50
2021-12-02T12,53
2021-12-02T13,49
2021-12-02T14,52
2021-12-02T15,53
2021-12-02T16,51
2021-12-02T17,54
2021-12-02T18,57
2021-12-02T19,57
2021-12-02T20,59
2021-12-02T21,100
2021-12-02T22,49
2021-12-02T23,49
2021-12-03T00,51
2021-12-03T01,42
2021-12-03T02,38
2021-12-03T03,36
2021-12-03T04,37
2021-12-03T05,34
2021-12-03T06,36
2021-12-03T07,39
2021-12-03T08,40
2021-12-03T09,44
2021-12-03T10,49
2021-12-03T11,46
2021-12-03T12,49
2021-12-03T13,49
2021-12-03T14,46
2021-12-03T15,52
2021-12-03T16,52
2021-12-03T17,42
2021-12-03T18,50
2021-12-03T19,50
2021-12-03T20,51
2021-12-03T21,49
2021-12-03T22,48
2021-12-03T23,51
2021-12-04T00,45
2021-12-04T01,40
2021-12-04T02,34
2021-12-04T03,35
2021-12-04T04,34
2021-12-04T05,30
2021-12-04T06,33
2021-12-04T07,32
2021-12-04T08,46
2021-12-04T09,38
2021-12-04T10,40
2021-12-04T11,39
2021-12-04T12,47
2021-12-04T13,48
2021-12-04T14,45
2021-12-04T15,41
2021-12-04T16,48
2021-12-04T17,41
2021-12-04T18,44
2021-12-04T19,47
2021-12-04T20,41
2021-12-04T21,55
2021-12-04T22,47
2021-12-04T23,47
2021-12-05T00,49
2021-12-05T01,38
2021-12-05T02,38
2021-12-05T03,36
2021-12-05T04,34
2021-12-05T05,34
2021-12-05T06,31
2021-12-05T07,32
2021-12-05T08,35
2021-12-05T09,33
2021-12-05T10,38
2021-12-05T11,38
2021-12-05T12,44
2021-12-05T13,41
2021-12-05T14,45
2021-12-05T15,50
2021-12-05T16,50
2021-12-05T17,87
2021-12-05T18,74
2021-12-05T19,63
2021-12-05T20,60
2021-12-05T21,59
2021-12-05T22,53
2021-12-05T23,91
2021-12-06T00,38
2021-12-06T01,45
2021-12-06T02,35
2021-12-06T03,33
2021-12-06T04,36
2021-12-06T05,34
2021-12-06T06,32
2021-12-06T07,38
2021-12-06T08,37
2021-12-06T09,41
2021-12-06T10,41
2021-12-06T11,42
2021-12-06T12,44
2021-12-06T13,42
2021-12-06T14,41
2021-12-06T15,43
2021-12-06T16,46
2021-12-06T17,39
2021-12-06T18,43
2021-12-06T19,40
2021-12-06T20,43
