Category: All categories

Time,facebook meta stock: (Worldwide)
2021-11-29T21,67
2021-11-29T22,81
2021-11-29T23,67
2021-11-30T00,69
2021-11-30T01,32
2021-11-30T02,40
2021-11-30T03,36
2021-11-30T04,29
2021-11-30T05,29
2021-11-30T06,34
2021-11-30T07,42
2021-11-30T08,54
2021-11-30T09,74
2021-11-30T10,54
2021-11-30T11,90
2021-11-30T12,67
2021-11-30T13,95
2021-11-30T14,95
2021-11-30T15,76
2021-11-30T16,92
2021-11-30T17,85
2021-11-30T18,63
2021-11-30T19,72
2021-11-30T20,62
2021-11-30T21,70
2021-11-30T22,88
2021-11-30T23,85
2021-12-01T00,44
2021-12-01T01,44
2021-12-01T02,49
2021-12-01T03,33
2021-12-01T04,46
2021-12-01T05,38
2021-12-01T06,43
2021-12-01T07,41
2021-12-01T08,51
2021-12-01T09,64
2021-12-01T10,57
2021-12-01T11,52
2021-12-01T12,85
2021-12-01T13,87
2021-12-01T14,72
2021-12-01T15,92
2021-12-01T16,87
2021-12-01T17,69
2021-12-01T18,83
2021-12-01T19,48
2021-12-01T20,57
2021-12-01T21,68
2021-12-01T22,61
2021-12-01T23,54
2021-12-02T00,32
2021-12-02T01,37
2021-12-02T02,36
2021-12-02T03,30
2021-12-02T04,21
2021-12-02T05,28
2021-12-02T06,17
2021-12-02T07,34
2021-12-02T08,30
2021-12-02T09,42
2021-12-02T10,70
2021-12-02T11,51
2021-12-02T12,58
2021-12-02T13,70
2021-12-02T14,82
2021-12-02T15,74
2021-12-02T16,38
2021-12-02T17,60
2021-12-02T18,48
2021-12-02T19,40
2021-12-02T20,42
2021-12-02T21,61
2021-12-02T22,37
2021-12-02T23,46
2021-12-03T00,53
2021-12-03T01,49
2021-12-03T02,22
2021-12-03T03,28
2021-12-03T04,27
2021-12-03T05,20
2021-12-03T06,14
2021-12-03T07,28
2021-12-03T08,24
2021-12-03T09,51
2021-12-03T10,56
2021-12-03T11,59
2021-12-03T12,73
2021-12-03T13,75
2021-12-03T14,59
2021-12-03T15,65
2021-12-03T16,39
2021-12-03T17,52
2021-12-03T18,47
2021-12-03T19,28
2021-12-03T20,60
2021-12-03T21,53
2021-12-03T22,51
2021-12-03T23,25
2021-12-04T00,25
2021-12-04T01,35
2021-12-04T02,17
2021-12-04T03,41
2021-12-04T04,30
2021-12-04T05,10
2021-12-04T06,18
2021-12-04T07,15
2021-12-04T08,22
2021-12-04T09,32
2021-12-04T10,33
2021-12-04T11,33
2021-12-04T12,22
2021-12-04T13,29
2021-12-04T14,25
2021-12-04T15,27
2021-12-04T16,29
2021-12-04T17,27
2021-12-04T18,33
2021-12-04T19,44
2021-12-04T20,43
2021-12-04T21,54
2021-12-04T22,30
2021-12-04T23,34
2021-12-05T00,37
2021-12-05T01,50
2021-12-05T02,28
2021-12-05T03,14
2021-12-05T04,18
2021-12-05T05,17
2021-12-05T06,20
2021-12-05T07,21
2021-12-05T08,21
2021-12-05T09,16
2021-12-05T10,27
2021-12-05T11,19
2021-12-05T12,18
2021-12-05T13,35
2021-12-05T14,34
2021-12-05T15,33
2021-12-05T16,30
2021-12-05T17,43
2021-12-05T18,54
2021-12-05T19,27
2021-12-05T20,34
2021-12-05T21,44
2021-12-05T22,20
2021-12-05T23,51
2021-12-06T00,31
2021-12-06T01,36
2021-12-06T02,19
2021-12-06T03,21
2021-12-06T04,20
2021-12-06T05,28
2021-12-06T06,14
2021-12-06T07,34
2021-12-06T08,24
2021-12-06T09,56
2021-12-06T10,50
2021-12-06T11,69
2021-12-06T12,52
2021-12-06T13,70
2021-12-06T14,72
2021-12-06T15,100
2021-12-06T16,84
2021-12-06T17,52
2021-12-06T18,53
2021-12-06T19,45
2021-12-06T20,45
