Category: All categories

Time,Meta: (Worldwide)
2021-11-29T21,79
2021-11-29T22,83
2021-11-29T23,89
2021-11-30T00,95
2021-11-30T01,94
2021-11-30T02,92
2021-11-30T03,88
2021-11-30T04,93
2021-11-30T05,87
2021-11-30T06,88
2021-11-30T07,89
2021-11-30T08,90
2021-11-30T09,89
2021-11-30T10,89
2021-11-30T11,84
2021-11-30T12,84
2021-11-30T13,78
2021-11-30T14,81
2021-11-30T15,79
2021-11-30T16,79
2021-11-30T17,78
2021-11-30T18,76
2021-11-30T19,80
2021-11-30T20,82
2021-11-30T21,85
2021-11-30T22,91
2021-11-30T23,91
2021-12-01T00,96
2021-12-01T01,94
2021-12-01T02,94
2021-12-01T03,91
2021-12-01T04,91
2021-12-01T05,91
2021-12-01T06,91
2021-12-01T07,92
2021-12-01T08,89
2021-12-01T09,89
2021-12-01T10,92
2021-12-01T11,86
2021-12-01T12,84
2021-12-01T13,83
2021-12-01T14,81
2021-12-01T15,77
2021-12-01T16,78
2021-12-01T17,76
2021-12-01T18,80
2021-12-01T19,81
2021-12-01T20,84
2021-12-01T21,88
2021-12-01T22,90
2021-12-01T23,94
2021-12-02T00,99
2021-12-02T01,95
2021-12-02T02,91
2021-12-02T03,92
2021-12-02T04,90
2021-12-02T05,91
2021-12-02T06,90
2021-12-02T07,95
2021-12-02T08,92
2021-12-02T09,93
2021-12-02T10,90
2021-12-02T11,85
2021-12-02T12,85
2021-12-02T13,82
2021-12-02T14,80
2021-12-02T15,76
2021-12-02T16,78
2021-12-02T17,75
2021-12-02T18,79
2021-12-02T19,79
2021-12-02T20,84
2021-12-02T21,89
2021-12-02T22,92
2021-12-02T23,90
2021-12-03T00,97
2021-12-03T01,98
2021-12-03T02,92
2021-12-03T03,91
2021-12-03T04,87
2021-12-03T05,91
2021-12-03T06,89
2021-12-03T07,91
2021-12-03T08,90
2021-12-03T09,90
2021-12-03T10,88
2021-12-03T11,87
2021-12-03T12,83
2021-12-03T13,81
2021-12-03T14,81
2021-12-03T15,80
2021-12-03T16,77
2021-12-03T17,76
2021-12-03T18,74
2021-12-03T19,78
2021-12-03T20,84
2021-12-03T21,84
2021-12-03T22,87
2021-12-03T23,88
2021-12-04T00,89
2021-12-04T01,93
2021-12-04T02,89
2021-12-04T03,89
2021-12-04T04,87
2021-12-04T05,89
2021-12-04T06,87
2021-12-04T07,91
2021-12-04T08,100
2021-12-04T09,89
2021-12-04T10,87
2021-12-04T11,83
2021-12-04T12,80
2021-12-04T13,77
2021-12-04T14,79
2021-12-04T15,76
2021-12-04T16,71
2021-12-04T17,71
2021-12-04T18,69
2021-12-04T19,73
2021-12-04T20,79
2021-12-04T21,82
2021-12-04T22,85
2021-12-04T23,90
2021-12-05T00,96
2021-12-05T01,99
2021-12-05T02,93
2021-12-05T03,97
2021-12-05T04,90
2021-12-05T05,93
2021-12-05T06,90
2021-12-05T07,94
2021-12-05T08,90
2021-12-05T09,89
2021-12-05T10,82
2021-12-05T11,84
2021-12-05T12,80
2021-12-05T13,78
2021-12-05T14,75
2021-12-05T15,74
2021-12-05T16,71
2021-12-05T17,71
2021-12-05T18,76
2021-12-05T19,78
2021-12-05T20,81
2021-12-05T21,84
2021-12-05T22,85
2021-12-05T23,89
2021-12-06T00,93
2021-12-06T01,98
2021-12-06T02,95
2021-12-06T03,93
2021-12-06T04,88
2021-12-06T05,90
2021-12-06T06,91
2021-12-06T07,90
2021-12-06T08,90
2021-12-06T09,90
2021-12-06T10,90
2021-12-06T11,87
2021-12-06T12,83
2021-12-06T13,81
2021-12-06T14,79
2021-12-06T15,81
2021-12-06T16,79
2021-12-06T17,75
2021-12-06T18,77
2021-12-06T19,78
2021-12-06T20,83
