Category: All categories

Time,Facebook up: (Worldwide)
2021-11-29T21,92
2021-11-29T22,94
2021-11-29T23,86
2021-11-30T00,88
2021-11-30T01,78
2021-11-30T02,73
2021-11-30T03,67
2021-11-30T04,66
2021-11-30T05,67
2021-11-30T06,71
2021-11-30T07,71
2021-11-30T08,67
2021-11-30T09,74
2021-11-30T10,76
2021-11-30T11,76
2021-11-30T12,71
2021-11-30T13,72
2021-11-30T14,70
2021-11-30T15,71
2021-11-30T16,71
2021-11-30T17,82
2021-11-30T18,79
2021-11-30T19,88
2021-11-30T20,92
2021-11-30T21,100
2021-11-30T22,90
2021-11-30T23,95
2021-12-01T00,87
2021-12-01T01,83
2021-12-01T02,79
2021-12-01T03,73
2021-12-01T04,70
2021-12-01T05,71
2021-12-01T06,74
2021-12-01T07,77
2021-12-01T08,72
2021-12-01T09,74
2021-12-01T10,73
2021-12-01T11,74
2021-12-01T12,72
2021-12-01T13,70
2021-12-01T14,71
2021-12-01T15,71
2021-12-01T16,77
2021-12-01T17,75
2021-12-01T18,83
2021-12-01T19,93
2021-12-01T20,95
2021-12-01T21,95
2021-12-01T22,88
2021-12-01T23,93
2021-12-02T00,92
2021-12-02T01,75
2021-12-02T02,76
2021-12-02T03,74
2021-12-02T04,78
2021-12-02T05,68
2021-12-02T06,72
2021-12-02T07,72
2021-12-02T08,70
2021-12-02T09,74
2021-12-02T10,76
2021-12-02T11,74
2021-12-02T12,78
2021-12-02T13,76
2021-12-02T14,74
2021-12-02T15,70
2021-12-02T16,73
2021-12-02T17,77
2021-12-02T18,85
2021-12-02T19,88
2021-12-02T20,91
2021-12-02T21,96
2021-12-02T22,100
2021-12-02T23,95
2021-12-03T00,89
2021-12-03T01,80
2021-12-03T02,76
2021-12-03T03,77
2021-12-03T04,69
2021-12-03T05,71
2021-12-03T06,77
2021-12-03T07,73
2021-12-03T08,71
2021-12-03T09,75
2021-12-03T10,76
2021-12-03T11,78
2021-12-03T12,76
2021-12-03T13,72
2021-12-03T14,78
2021-12-03T15,73
2021-12-03T16,71
2021-12-03T17,72
2021-12-03T18,83
2021-12-03T19,87
2021-12-03T20,91
2021-12-03T21,96
2021-12-03T22,95
2021-12-03T23,87
2021-12-04T00,90
2021-12-04T01,85
2021-12-04T02,71
2021-12-04T03,66
2021-12-04T04,72
2021-12-04T05,75
2021-12-04T06,72
2021-12-04T07,76
2021-12-04T08,79
2021-12-04T09,73
2021-12-04T10,76
2021-12-04T11,75
2021-12-04T12,72
2021-12-04T13,68
2021-12-04T14,66
2021-12-04T15,76
2021-12-04T16,76
2021-12-04T17,79
2021-12-04T18,85
2021-12-04T19,79
2021-12-04T20,89
2021-12-04T21,93
2021-12-04T22,95
2021-12-04T23,93
2021-12-05T00,91
2021-12-05T01,85
2021-12-05T02,78
2021-12-05T03,73
2021-12-05T04,70
2021-12-05T05,71
2021-12-05T06,69
2021-12-05T07,76
2021-12-05T08,79
2021-12-05T09,81
2021-12-05T10,80
2021-12-05T11,79
2021-12-05T12,75
2021-12-05T13,70
2021-12-05T14,72
2021-12-05T15,70
2021-12-05T16,76
2021-12-05T17,80
2021-12-05T18,79
2021-12-05T19,87
2021-12-05T20,94
2021-12-05T21,90
2021-12-05T22,90
2021-12-05T23,96
2021-12-06T00,83
2021-12-06T01,77
2021-12-06T02,75
2021-12-06T03,73
2021-12-06T04,72
2021-12-06T05,69
2021-12-06T06,73
2021-12-06T07,73
2021-12-06T08,74
2021-12-06T09,75
2021-12-06T10,72
2021-12-06T11,74
2021-12-06T12,76
2021-12-06T13,65
2021-12-06T14,68
2021-12-06T15,64
2021-12-06T16,67
2021-12-06T17,73
2021-12-06T18,74
2021-12-06T19,74
2021-12-06T20,86
