Category: All categories

Time,facebook stock up: (Worldwide)
2021-11-29T21,56
2021-11-29T22,57
2021-11-29T23,30
2021-11-30T00,60
2021-11-30T01,14
2021-11-30T02,13
2021-11-30T03,36
2021-11-30T04,11
2021-11-30T05,0
2021-11-30T06,20
2021-11-30T07,37
2021-11-30T08,17
2021-11-30T09,33
2021-11-30T10,42
2021-11-30T11,8
2021-11-30T12,44
2021-11-30T13,54
2021-11-30T14,19
2021-11-30T15,50
2021-11-30T16,56
2021-11-30T17,89
2021-11-30T18,28
2021-11-30T19,42
2021-11-30T20,41
2021-11-30T21,70
2021-11-30T22,59
2021-11-30T23,45
2021-12-01T00,44
2021-12-01T01,14
2021-12-01T02,13
2021-12-01T03,24
2021-12-01T04,11
2021-12-01T05,0
2021-12-01T06,10
2021-12-01T07,28
2021-12-01T08,26
2021-12-01T09,32
2021-12-01T10,48
2021-12-01T11,16
2021-12-01T12,17
2021-12-01T13,65
2021-12-01T14,67
2021-12-01T15,30
2021-12-01T16,22
2021-12-01T17,75
2021-12-01T18,100
2021-12-01T19,14
2021-12-01T20,14
2021-12-01T21,69
2021-12-01T22,58
2021-12-01T23,15
2021-12-02T00,30
2021-12-02T01,0
2021-12-02T02,25
2021-12-02T03,24
2021-12-02T04,34
2021-12-02T05,0
2021-12-02T06,20
2021-12-02T07,19
2021-12-02T08,26
2021-12-02T09,25
2021-12-02T10,52
2021-12-02T11,43
2021-12-02T12,64
2021-12-02T13,19
2021-12-02T14,49
2021-12-02T15,40
2021-12-02T16,57
2021-12-02T17,37
2021-12-02T18,29
2021-12-02T19,14
2021-12-02T20,56
2021-12-02T21,56
2021-12-02T22,88
2021-12-02T23,46
2021-12-03T00,61
2021-12-03T01,14
2021-12-03T02,39
2021-12-03T03,37
2021-12-03T04,11
2021-12-03T05,0
2021-12-03T06,21
2021-12-03T07,39
2021-12-03T08,9
2021-12-03T09,52
2021-12-03T10,79
2021-12-03T11,36
2021-12-03T12,38
2021-12-03T13,49
2021-12-03T14,52
2021-12-03T15,45
2021-12-03T16,62
2021-12-03T17,54
2021-12-03T18,60
2021-12-03T19,47
2021-12-03T20,31
2021-12-03T21,48
2021-12-03T22,32
2021-12-03T23,50
2021-12-04T00,17
2021-12-04T01,16
2021-12-04T02,0
2021-12-04T03,13
2021-12-04T04,13
2021-12-04T05,13
2021-12-04T06,12
2021-12-04T07,33
2021-12-04T08,10
2021-12-04T09,10
2021-12-04T10,19
2021-12-04T11,10
2021-12-04T12,38
2021-12-04T13,29
2021-12-04T14,0
2021-12-04T15,23
2021-12-04T16,25
2021-12-04T17,14
2021-12-04T18,30
2021-12-04T19,31
2021-12-04T20,48
2021-12-04T21,0
2021-12-04T22,50
2021-12-04T23,0
2021-12-05T00,35
2021-12-05T01,50
2021-12-05T02,15
2021-12-05T03,14
2021-12-05T04,13
2021-12-05T05,0
2021-12-05T06,24
2021-12-05T07,0
2021-12-05T08,21
2021-12-05T09,10
2021-12-05T10,48
2021-12-05T11,10
2021-12-05T12,20
2021-12-05T13,30
2021-12-05T14,11
2021-12-05T15,0
2021-12-05T16,12
2021-12-05T17,27
2021-12-05T18,59
2021-12-05T19,15
2021-12-05T20,73
2021-12-05T21,44
2021-12-05T22,15
2021-12-05T23,15
2021-12-06T00,0
2021-12-06T01,14
2021-12-06T02,13
2021-12-06T03,12
2021-12-06T04,11
2021-12-06T05,0
2021-12-06T06,30
2021-12-06T07,19
2021-12-06T08,18
2021-12-06T09,67
2021-12-06T10,68
2021-12-06T11,87
2021-12-06T12,62
2021-12-06T13,55
2021-12-06T14,97
2021-12-06T15,43
2021-12-06T16,39
2021-12-06T17,62
2021-12-06T18,47
2021-12-06T19,0
2021-12-06T20,72
